mRNA(1365),index
eif4ebp1,1174
eif4b,1175
eif1ax,1176
celsr3,1177
egf,1178
ednrb,1179
edn3,1180
ece1,1181
gpr183,1182
tor1a,1183
rcan1,1184
drd4,1185
drd3,1186
dock2,1187
dync1h1,1188
dnase1l3,1189
sardh,1190
dmbt1,1191
dlg4,1192
dlg3,1193
dlg2,1194
dio3,1195
nqo1,1196
gsdme,1197
cfd,1198
dhx15,1199
dmxl1,1200
ddc,1201
ddb2,1202
ace,1203
dbh,1204
daxx,1205
dapk1,1206
cyp27a1,1207
cyp3a5,1208
cyp2d6,1209
cyp1a2,1210
cyp1a1,1211
cyba,1212
cux1,1213
ctsz,1214
ctsk,1215
ctsh,1216
ctsd,1217
ctsb,1218
ctrb1,1219
ctnnd2,1220
ctnna1,1221
ctla4,1222
ccn2,1223
cstb,1224
csta,1225
cst3,1226
csf3r,1227
csf3,1228
csf2rb,1229
csf2,1230
cs,1231
hapln1,1232
crp,1233
crhr1,1234
crhbp,1235
crh,1236
crem,1237
crebbp,1238
cpt1b,1239
cpa2,1240
cp,1241
comt,1242
col8a1,1243
col6a1,1244
col4a1,1245
col2a1,1246
cnr2,1247
cnp,1248
abcc2,1249
ccr5,1250
ccr4,1251
clcn5,1252
clcn2,1253
ckm,1254
ckb,1255
cidea,1256
chi3l1,1257
chd3,1258
cetp,1259
cdo1,1260
cdkn2c,1261
cdh7,1262
cd68,1263
cd40,1264
cd33,1265
cd28,1266
cd9,1267
cd5,1268
cd3e,1269
cd2,1270
ccnh,1271
cckar,1272
cbs,1273
cblb,1274
cbfb,1275
runx1t1,1276
cav3,1277
cav2,1278
capn2,1279
capg,1280
camk2a,1281
cald1,1282
ca9,1283
gas8-as1,1284
c3,1285
serping1,1286
klf9,1287
bmp7,1288
blm,1289
blk,1290
bhmt,1291
bgn,1292
bdkrb2,1293
bdkrb1,1294
bcr,1295
bcl2a1,1296
bche,1297
bard1,1298
bak1,1299
bad,1300
avpr2,1301
avp,1302
kif1a,1303
atrx,1304
atp7b,1305
atp5f1b,1306
atp2b1,1307
atp2a1,1308
atp1b2,1309
atp1a3,1310
atp1a1,1311
atic,1312
arvcf,1313
sts,1314
arsa,1315
arrb1,1316
arhgap6,1317
abcc6,1318
aqp9,1319
aprt,1320
apoe,1321
apod,1322
apoc3,1323
apoc1,1324
apoa4,1325
apoa1,1326
birc3,1327
birc2,1328
apcs,1329
apaf1,1330
anxa6,1331
anxa5,1332
anxa4,1333
anxa3,1334
anpep,1335
alox15,1336
alox5ap,1337
aldob,1338
alb,1339
ahcy,1340
agtr1,1341
agt,1342
ager,1343
acan,1344
grk2,1345
adrb3,1346
adrb1,1347
adra2c,1348
adra1a,1349
adra1d,1350
adora3,1351
adora1,1352
adk,1353
add1,1354
adcy7,1355
adcy5,1356
acta2,1357
acp1,1358
acox1,1359
acadvl,1360
acads,1361
acaca,1362
abo,1363
nat2,1364
