x,y,index
84,176,1
92,176,1
387,176,1
74,176,1
355,247,1
292,247,1
429,247,1
137,495,1
297,495,1
402,495,1
363,495,1
350,248,1
395,248,1
35,535,1
120,535,1
297,535,1
92,535,1
34,535,1
139,535,1
294,535,1
317,535,1
316,535,1
371,535,1
350,535,1
257,108,1
77,108,1
384,108,1
374,108,1
34,108,1
336,108,1
419,469,1
85,469,1
115,415,1
383,228,1
297,183,1
125,194,1
292,194,1
429,194,1
64,194,1
355,194,1
35,168,1
411,168,1
79,168,1
302,168,1
6,168,1
348,261,1
432,261,1
189,261,1
178,261,1
92,261,1
257,261,1
170,261,1
90,261,1
432,239,1
142,239,1
84,239,1
427,239,1
170,12,1
302,12,1
6,12,1
189,12,1
178,12,1
125,12,1
383,480,1
388,480,1
113,480,1
259,480,1
115,480,1
302,173,1
6,173,1
29,211,1
215,211,1
428,211,1
383,211,1
92,211,1
169,124,1
4,124,1
223,198,1
458,198,1
60,198,1
84,198,1
296,559,1
402,559,1
318,559,1
64,559,1
380,27,1
290,27,1
231,27,1
387,27,1
74,27,1
169,27,1
350,27,1
406,86,1
240,86,1
77,86,1
92,86,1
170,8,1
302,8,1
6,8,1
125,8,1
189,8,1
178,8,1
402,37,1
318,37,1
296,37,1
64,37,1
69,297,1
121,297,1
335,297,1
223,297,1
403,297,1
96,297,1
229,359,1
96,359,1
170,359,1
9,359,1
214,359,1
84,359,1
317,359,1
316,359,1
137,306,1
402,306,1
297,306,1
363,306,1
189,565,1
178,565,1
170,565,1
302,565,1
6,565,1
125,565,1
407,79,1
77,79,1
215,79,1
428,79,1
318,79,1
296,79,1
383,170,1
223,170,1
68,170,1
355,170,1
210,170,1
403,294,1
69,294,1
223,294,1
121,294,1
335,294,1
96,294,1
291,45,1
52,45,1
387,45,1
74,45,1
125,20,1
170,20,1
302,20,1
6,20,1
189,20,1
178,20,1
296,76,1
407,76,1
77,76,1
215,76,1
428,76,1
318,76,1
406,563,1
121,563,1
297,563,1
4,563,1
371,563,1
407,89,1
470,89,1
215,89,1
428,89,1
380,89,1
290,89,1
335,299,1
69,299,1
403,299,1
223,299,1
121,299,1
96,299,1
92,265,1
383,265,1
69,265,1
408,265,1
162,265,1
399,265,1
355,265,1
458,265,1
121,265,1
121,267,1
399,267,1
355,267,1
92,267,1
383,267,1
69,267,1
408,267,1
162,267,1
458,267,1
215,272,1
428,272,1
470,272,1
35,272,1
243,272,1
352,272,1
384,284,1
395,284,1
120,284,1
297,284,1
263,284,1
231,284,1
355,284,1
189,6,1
178,6,1
125,6,1
170,6,1
302,6,1
6,6,1
372,83,1
33,83,1
297,83,1
408,83,1
162,83,1
299,329,1
243,329,1
352,329,1
380,87,1
290,87,1
407,87,1
215,87,1
428,87,1
470,87,1
45,67,1
259,67,1
92,67,1
68,67,1
263,67,1
297,67,1
399,67,1
243,67,1
352,67,1
229,67,1
395,67,1
84,117,1
407,117,1
231,404,1
466,143,1
317,143,1
316,143,1
29,143,1
64,143,1
365,143,1
257,143,1
383,143,1
121,143,1
286,143,1
92,143,1
4,143,1
395,143,1
243,143,1
352,143,1
302,143,1
6,143,1
302,175,1
6,175,1
84,187,1
68,187,1
231,187,1
419,187,1
297,187,1
297,308,1
402,308,1
363,308,1
137,308,1
297,561,1
419,561,1
399,561,1
315,561,1
408,561,1
162,561,1
92,263,1
297,263,1
317,140,1
316,140,1
395,140,1
302,140,1
6,140,1
383,140,1
466,140,1
4,140,1
121,140,1
64,140,1
365,140,1
29,140,1
92,140,1
257,140,1
243,140,1
352,140,1
286,140,1
92,96,1
432,96,1
243,96,1
352,96,1
35,96,1
371,96,1
120,96,1
125,96,1
406,96,1
90,96,1
139,112,1
294,112,1
346,112,1
189,4,1
178,4,1
170,4,1
302,4,1
6,4,1
125,4,1
302,18,1
6,18,1
170,18,1
125,18,1
189,18,1
178,18,1
137,99,1
432,99,1
64,99,1
229,99,1
92,50,1
432,50,1
302,50,1
6,50,1
84,50,1
374,50,1
459,60,1
253,60,1
380,60,1
290,60,1
398,60,1
96,60,1
35,130,1
384,130,1
317,138,1
316,138,1
286,138,1
64,138,1
383,138,1
365,138,1
395,138,1
302,138,1
6,138,1
257,138,1
4,138,1
29,138,1
92,138,1
466,138,1
243,138,1
352,138,1
121,138,1
68,153,1
169,153,1
355,153,1
33,153,1
33,159,1
169,159,1
68,159,1
355,159,1
317,236,1
316,236,1
0,236,1
119,236,1
466,278,1
350,278,1
52,278,1
169,278,1
363,310,1
297,310,1
137,310,1
402,310,1
137,392,1
297,392,1
402,392,1
363,392,1
122,41,1
383,41,1
33,41,1
64,41,1
286,41,1
317,41,1
316,41,1
121,41,1
395,41,1
302,41,1
6,41,1
229,226,1
432,226,1
64,226,1
137,226,1
388,249,1
113,249,1
142,72,1
96,72,1
300,72,1
